
  0%|                                                    | 0/1943 [00:00<?, ?it/s]
  0%|                                          | 1/1943 [00:09<4:58:55,  9.24s/it]
  0%|                                          | 2/1943 [00:09<2:07:53,  3.95s/it]
  0%|                                          | 3/1943 [00:09<1:13:29,  2.27s/it]
  0%|                                            | 4/1943 [00:10<47:51,  1.48s/it]
  0%|1                                           | 5/1943 [00:10<33:07,  1.03s/it]
  0%|2                                           | 9/1943 [00:10<11:35,  2.78it/s]
  1%|2                                          | 11/1943 [00:10<08:46,  3.67it/s]
  1%|3                                          | 16/1943 [00:10<04:30,  7.13it/s]
  1%|4                                          | 21/1943 [00:10<02:55, 10.93it/s]
  2%|6                                          | 30/1943 [00:10<01:35, 20.11it/s]
  2%|7                                          | 36/1943 [00:11<01:14, 25.55it/s]
  2%|9                                          | 41/1943 [00:11<01:08, 27.57it/s]
  3%|#1                                         | 50/1943 [00:11<00:51, 36.61it/s]
  3%|#2                                         | 57/1943 [00:11<00:45, 41.50it/s]
  3%|#3                                         | 63/1943 [00:11<00:42, 44.63it/s]
  4%|#5                                         | 70/1943 [00:11<00:38, 49.15it/s]
  4%|#7                                         | 77/1943 [00:11<00:35, 53.10it/s]
  4%|#8                                         | 83/1943 [00:11<00:35, 52.18it/s]
  5%|#9                                         | 89/1943 [00:12<00:35, 51.63it/s]
  5%|##1                                        | 96/1943 [00:12<00:34, 53.17it/s]
  5%|##2                                       | 102/1943 [00:12<00:33, 54.26it/s]
  6%|##4                                       | 112/1943 [00:12<00:36, 49.54it/s]
  6%|##5                                       | 120/1943 [00:12<00:34, 53.41it/s]
  7%|##7                                       | 128/1943 [00:12<00:31, 57.94it/s]
  7%|##9                                       | 135/1943 [00:12<00:35, 50.96it/s]
  7%|###1                                      | 144/1943 [00:13<00:31, 56.43it/s]
  8%|###2                                      | 150/1943 [00:13<00:35, 51.12it/s]
  8%|###4                                      | 159/1943 [00:13<00:29, 59.50it/s]
  9%|###5                                      | 166/1943 [00:13<00:33, 52.56it/s]
  9%|###7                                      | 174/1943 [00:13<00:30, 57.92it/s]
  9%|###9                                      | 181/1943 [00:13<00:34, 50.61it/s]
 10%|####                                      | 189/1943 [00:13<00:31, 55.49it/s]
 10%|####2                                     | 195/1943 [00:13<00:31, 55.20it/s]
 11%|####4                                     | 205/1943 [00:14<00:33, 52.14it/s]
 11%|####5                                     | 211/1943 [00:14<00:33, 51.69it/s]
 11%|####7                                     | 221/1943 [00:14<00:33, 50.82it/s]
 12%|####9                                     | 228/1943 [00:14<00:32, 52.80it/s]
 12%|#####1                                    | 237/1943 [00:14<00:30, 55.88it/s]
 13%|#####2                                    | 243/1943 [00:14<00:30, 55.56it/s]
 13%|#####4                                    | 253/1943 [00:15<00:29, 57.46it/s]
 13%|#####5                                    | 259/1943 [00:15<00:29, 57.57it/s]
 14%|#####7                                    | 268/1943 [00:15<00:27, 61.80it/s]
 14%|#####9                                    | 275/1943 [00:15<00:31, 52.87it/s]
 15%|######1                                   | 284/1943 [00:15<00:29, 56.42it/s]
 15%|######2                                   | 291/1943 [00:15<00:27, 59.33it/s]
 15%|######4                                   | 299/1943 [00:15<00:27, 58.97it/s]
 16%|######6                                   | 306/1943 [00:15<00:27, 59.26it/s]
 16%|######7                                   | 314/1943 [00:16<00:27, 58.79it/s]
 16%|######9                                   | 320/1943 [00:16<00:30, 52.83it/s]
 17%|#######1                                  | 330/1943 [00:16<00:30, 53.27it/s]
 17%|#######2                                  | 336/1943 [00:16<00:29, 54.14it/s]
 18%|#######4                                  | 346/1943 [00:16<00:29, 54.17it/s]
 18%|#######6                                  | 352/1943 [00:16<00:31, 51.17it/s]
 19%|#######8                                  | 362/1943 [00:16<00:27, 57.61it/s]
 19%|#######9                                  | 368/1943 [00:17<00:34, 45.01it/s]
 19%|########1                                 | 378/1943 [00:17<00:29, 52.35it/s]
 20%|########3                                 | 384/1943 [00:17<00:32, 48.36it/s]
 20%|########4                                 | 390/1943 [00:17<00:30, 50.18it/s]
 20%|########5                                 | 396/1943 [00:17<00:31, 49.02it/s]
 21%|########6                                 | 402/1943 [00:17<00:30, 50.71it/s]
 21%|########8                                 | 408/1943 [00:17<00:30, 50.19it/s]
 21%|########9                                 | 415/1943 [00:18<00:30, 49.35it/s]
 22%|#########1                                | 421/1943 [00:18<00:30, 49.57it/s]
 22%|#########2                                | 428/1943 [00:18<00:30, 49.69it/s]
 22%|#########3                                | 434/1943 [00:18<00:30, 49.22it/s]
 23%|#########5                                | 441/1943 [00:18<00:30, 48.75it/s]
 23%|#########6                                | 447/1943 [00:18<00:31, 48.11it/s]
 23%|#########8                                | 454/1943 [00:18<00:28, 52.11it/s]
 24%|#########9                                | 460/1943 [00:19<00:31, 47.76it/s]
 24%|##########1                               | 468/1943 [00:19<00:26, 55.45it/s]
 24%|##########2                               | 475/1943 [00:19<00:34, 42.21it/s]
 25%|##########5                               | 490/1943 [00:19<00:24, 60.50it/s]
 26%|##########7                               | 497/1943 [00:19<00:31, 45.55it/s]
 26%|##########9                               | 507/1943 [00:19<00:27, 52.60it/s]
 26%|###########1                              | 514/1943 [00:20<00:27, 52.40it/s]
 27%|###########2                              | 521/1943 [00:20<00:27, 51.48it/s]
 27%|###########3                              | 527/1943 [00:20<00:27, 50.83it/s]
 28%|###########6                              | 537/1943 [00:20<00:24, 57.25it/s]
 28%|###########7                              | 543/1943 [00:20<00:28, 49.04it/s]
 28%|###########9                              | 553/1943 [00:20<00:26, 52.23it/s]
 29%|############                              | 559/1943 [00:20<00:28, 49.17it/s]
 29%|############2                             | 565/1943 [00:21<00:27, 49.58it/s]
 29%|############3                             | 571/1943 [00:21<00:31, 43.31it/s]
 30%|############5                             | 582/1943 [00:21<00:24, 56.39it/s]
 30%|############7                             | 589/1943 [00:21<00:29, 46.41it/s]
 31%|############9                             | 599/1943 [00:21<00:24, 55.23it/s]
 31%|#############                             | 606/1943 [00:21<00:30, 43.79it/s]
 32%|#############3                            | 617/1943 [00:22<00:26, 50.34it/s]
 32%|#############4                            | 624/1943 [00:22<00:25, 52.22it/s]
 32%|#############6                            | 631/1943 [00:22<00:24, 54.52it/s]
