Model Evaluation Results (Sorted by Overall Accuracy)
============================================================

1. DSAL1e-07W1e-09B8E15: Acc=0.8608, Val=0.7356, Diff=0.1252
2. DSAL1e-07W1e-08B8E15: Acc=0.8589, Val=0.7307, Diff=0.1282
3. DSAL1e-07W1e-07B8E15: Acc=0.8579, Val=0.7423, Diff=0.1156
4. DSAL1e-07W1e-08B4E20: Acc=0.8577, Val=0.7344, Diff=0.1233
5. DSAL1e-07W1e-07B4E15: Acc=0.8559, Val=0.7356, Diff=0.1203
6. DSAL1e-07W1e-09B8E10: Acc=0.8538, Val=0.7379, Diff=0.1159
7. BSAL1e-07W1e-08B4E10: Acc=0.8526, Val=0.7158, Diff=0.1368
8. DSAL1e-07W1e-09B4E20: Acc=0.8526, Val=0.7103, Diff=0.1423
9. DSAL1e-07W1e-08B16E15: Acc=0.8498, Val=0.7500, Diff=0.0998
10. DSAL1e-07W1e-08B4E15: Acc=0.8445, Val=0.7451, Diff=0.0994
11. BL1e-07W1e-07B4E15: Acc=0.8421, Val=0.7074, Diff=0.1347
12. BL1e-07W1e-09B4E15: Acc=0.8405, Val=0.7119, Diff=0.1286
13. BL1e-07W1e-09B4E10: Acc=0.8404, Val=0.6918, Diff=0.1486
14. BL1e-07W1e-07B2E15: Acc=0.8394, Val=0.7046, Diff=0.1348
15. BL1e-07W1e-08B2E15: Acc=0.8360, Val=0.6731, Diff=0.1629
16. BSAL1e-07W1e-08B4E15: Acc=0.8356, Val=0.7160, Diff=0.1196
17. BL1e-07W1e-09B2E15: Acc=0.8353, Val=0.7186, Diff=0.1167
18. DSAL1e-07W1e-07B4E10: Acc=0.8352, Val=0.7100, Diff=0.1252
19. BL1e-07W1e-08B4E15: Acc=0.8344, Val=0.7312, Diff=0.1032
20. BL1e-07W1e-08B4E10: Acc=0.8339, Val=0.7136, Diff=0.1203
21. BSAL1e-07W1e-07B4E15: Acc=0.8336, Val=0.7269, Diff=0.1067
22. BL1e-07W1e-07B4E10: Acc=0.8328, Val=0.7148, Diff=0.1180
23. CSAOriginal_LR1e-07_e15_B2: Acc=0.8316, Val=0.6615, Diff=0.1701
24. BSAL1e-06W1e-07B4E10: Acc=0.8287, Val=0.6963, Diff=0.1324
25. BSAL1e-07W1e-07B2E10: Acc=0.8258, Val=0.7332, Diff=0.0926
26. BSAL1e-07W1e-09B2E15: Acc=0.8257, Val=0.7193, Diff=0.1064
27. DSAL1e-07W1e-08B2E15: Acc=0.8244, Val=0.6660, Diff=0.1584
28. BL1e-07W1e-09B2E10: Acc=0.8232, Val=0.7264, Diff=0.0968
29. BL1e-06W1e-07B4E10: Acc=0.8230, Val=0.6714, Diff=0.1516
30. BSAL1e-06W1e-08B4E10: Acc=0.8223, Val=0.7096, Diff=0.1127
31. BSAL1e-06W1e-08B4E15: Acc=0.8218, Val=0.7136, Diff=0.1082
32. DSAL1e-07W1e-07B2E10: Acc=0.8209, Val=0.6877, Diff=0.1332
33. BL1e-05W1e-07B4E10: Acc=0.8205, Val=0.0000, Diff=N/A
